,Battery_SOH
2023-08-16,83.59047504636307
2023-08-17,84.32526424253656
2023-08-18,83.64177247343036
2023-08-19,83.17162472255576
2023-08-20,82.82723786781987
2023-08-21,82.53566610392274
2023-08-22,82.98213909076016
2023-08-23,82.5974947764147
2023-08-24,82.3008238871207
2023-08-25,82.43642813472725
2023-08-26,82.20863559891569
2023-08-27,82.94174249052176
2023-08-28,82.60239192708482
2023-08-29,82.237608207605
2023-08-30,82.58588324166702
2023-08-31,82.06681049229428
2023-09-01,81.68671473960151
2023-09-02,82.3033372231809
2023-09-03,81.9091730131054
2023-09-04,81.33722615370208
2023-09-05,81.49199839657493
2023-09-06,81.18691452398457
2023-09-07,80.93506008071068
